time,num,delay
1756665779039086,100,47708
1756665779087965,99,48463
1756665779133048,98,44661
1756665779179421,97,46138
1756665779223971,96,44385
1756665779271001,95,46697
1756665779316207,94,45038
1756665779364988,93,48493
1756665779412778,92,47585
1756665779469347,91,56035
1756665779514110,90,44472
1756665779558142,89,43787
1756665779602146,88,43775
1756665779646111,87,43751
1756665779696742,86,50427
1756665779741210,85,44248
1756665779789308,84,47870
1756665779838532,83,48891
1756665779884668,82,45900
1756665779931162,81,44246
1756665779980739,80,49342
1756665780026016,79,44921
1756665780068951,78,42798
1756665780113005,77,43871
1756665780156040,76,42861
1756665780202103,75,45880
1756665780262023,74,52842
1756665780314420,73,51899
1756665780365208,72,50455
1756665780410591,71,45094
1756665780460283,70,49426
1756665780508233,69,46834
1756665780557445,68,48930
1756665780603102,67,45440
1756665780647130,66,43856
1756665780691013,65,43677
1756665780744226,64,53038
1756665780797359,63,52877
1756665780848319,62,50594
1756665780893375,61,44667
1756665780935866,60,42345
1756665780978857,59,42873
1756665781021882,58,42904
1756665781065003,57,42997
1756665781110933,56,45749
1756665781160894,55,49653
1756665781244269,54,81932
1756665781326148,53,81593
1756665781409643,52,83138
1756665781495118,51,85234
1756665781580398,50,84938
1756665781664170,49,83548
1756665781752799,48,88119
1756665781835673,47,82562
1756665781919099,46,83218
1756665782003226,45,83903
1756665782085327,44,81918
1756665782168157,43,82556
1756665782252388,42,83975
1756665782337593,41,84933
1756665782420347,40,82448
1756665782503259,39,82588
1756665782586309,38,82813
1756665782671143,37,84542
1756665782755406,36,83551
1756665782838622,35,82685
1756665782932608,34,93725
1756665783015215,33,82312
1756665783100191,32,84772
1756665783183935,31,83352
1756665783266324,30,82024
1756665783349101,29,82517
1756665783432187,28,82659
1756665783516628,27,84066
1756665783600183,26,83130
1756665783682122,25,81757
1756665783766171,24,83612
1756665783850115,23,83722
1756665783933246,22,82896
1756665784016330,21,82886
1756665784101047,20,84429
1756665784185091,19,83784
1756665784267893,18,82385
1756665784358003,17,89625
1756665784440169,16,81811
1756665784526853,15,86422
1756665784611862,14,84659
1756665784696235,13,83944
1756665784783597,12,87017
1756665784870219,11,86445
1756665784952161,10,81743
1756665785035936,9,83503
1756665785119257,8,83018
1756665785201305,7,81809
1756665785284358,6,82785
1756665785366557,5,81933
1756665785450315,4,83448
1756665785533336,3,82388
1756665785617537,2,83792
1756665785701264,1,83304
