time,num,delay
1756986941614380,100,44318
1756986941657317,99,42785
1756986941699351,98,41892
1756986941741343,97,41759
1756986941783320,96,41851
1756986941825304,95,41851
1756986941867316,94,41873
1756986941909868,93,42421
1756986941967309,92,47104
1756986942009359,91,41904
1756986942051353,90,41849
1756986942093398,89,41929
1756986942135440,88,41876
1756986942178402,87,42786
1756986942220443,86,41864
1756986942263369,85,42761
1756986942305380,84,41838
1756986942347458,83,41896
1756986942389429,82,41803
1756986942436177,81,46561
1756986942486528,80,44176
1756986942535989,79,46212
1756986942590059,78,43997
1756986942632332,77,41908
1756986942674423,76,41897
1756986942717406,75,42806
1756986942760396,74,42817
1756986942803387,73,42789
1756986942845414,72,41854
1756986942888403,71,42668
1756986942931678,70,43100
1756986942974550,69,42632
1756986943016498,68,41713
1756986943059411,67,42737
1756986943101269,66,41686
1756986943143449,65,42081
1756986943186402,64,42755
1756986943229446,63,42839
1756986943271398,62,41741
1756986943314330,61,42695
1756986943356627,60,42165
1756986943399926,59,42754
1756986943443385,58,43189
1756986943485388,57,41824
1756986943528455,56,42886
1756986943575487,55,46842
1756986943618393,54,42660
1756986943661466,53,42898
1756986943704412,52,42775
1756986943747364,51,42762
1756986943791736,50,44205
1756986943834018,49,42103
1756986943877397,48,43152
1756986943920416,47,42842
1756986943962394,46,41805
1756986944005407,45,42834
1756986944048563,44,42941
1756986944091644,43,42281
1756986944134551,42,42643
1756986944177411,41,42628
1756986944220454,40,42875
1756986944267507,39,46866
1756986944310436,38,42754
1756986944353411,37,42790
1756986944395531,36,41901
1756986944438409,35,42700
1756986944481385,34,42800
1756986944524585,33,43023
1756986944567459,32,42699
1756986944610443,31,42802
1756986944652459,30,41843
1756986944695413,29,42771
1756986944737388,28,41805
1756986944780389,27,42823
1756986944823382,26,42817
1756986944866479,25,42928
1756986944909367,24,42645
1756986944952431,23,42879
1756986944995422,22,42811
1756986945037769,21,42155
1756986945081677,20,43695
1756986945127621,19,45711
1756986945170434,18,42611
1756986945212399,17,41777
1756986945255388,16,42816
1756986945297415,15,41847
1756986945340402,14,42808
1756986945386390,13,45778
1756986945430401,12,43820
1756986945473397,11,42805
1756986945518412,10,44839
1756986945561411,9,42815
1756986945607404,8,45812
1756986945650370,7,42784
1756986945693397,6,42845
1756986945735308,5,41737
1756986945780390,4,44941
1756986945822385,3,41812
1756986945864394,2,41841
1756986945907522,1,42950
