time,num,delay
1756665781203330,100,83631
1756665781285091,99,81495
1756665781368215,98,82893
1756665781453600,97,85168
1756665781538528,96,82927
1756665781622606,95,83677
1756665781706213,94,83373
1756665781794123,93,87605
1756665781877090,92,82738
1756665781962133,91,83690
1756665782044211,90,81814
1756665782126433,89,82041
1756665782210271,88,83595
1756665782293368,87,82845
1756665782378157,86,84369
1756665782461119,85,82660
1756665782544119,84,82758
1756665782628365,83,83981
1756665782712651,82,83977
1756665782796454,81,83425
1756665782890170,80,93388
1756665782974264,79,83909
1756665783056123,78,81646
1756665783142253,77,85900
1756665783225150,76,82704
1756665783307562,75,82206
1756665783391125,74,83383
1756665783475302,73,83902
1756665783558055,72,82362
1756665783641299,71,83035
1756665783724655,70,83163
1756665783808384,69,83418
1756665783892228,68,83271
1756665783974368,67,81930
1756665784058095,66,83421
1756665784142382,65,84060
1756665784226044,64,83253
1756665784309611,63,83390
1756665784399316,62,89014
1756665784482361,61,82820
1756665784568777,60,86134
1756665784655391,59,86284
1756665784737662,58,81605
1756665784828141,57,90248
1756665784910915,56,81837
1756665784994264,55,83240
1756665785077273,54,82763
1756665785160190,53,82212
1756665785242469,52,82027
1756665785325251,51,82475
1756665785409039,50,83546
1756665785492007,49,82706
1756665785575304,48,82814
1756665785659495,47,83892
1756665785742149,46,82410
1756665785793653,45,51051
1756665785839112,44,45142
1756665785885439,43,46099
1756665785936106,42,50251
1756665785983086,41,46742
1756665786030271,40,46942
1756665786075182,39,44671
1756665786120243,38,44831
1756665786166202,37,45633
1756665786212165,36,45730
1756665786259196,35,46741
1756665786305201,34,45623
1756665786350136,33,44732
1756665786395200,32,44857
1756665786439102,31,43706
1756665786486272,30,46926
1756665786531330,29,44809
1756665786576998,28,45467
1756665786619826,27,42631
1756665786663172,26,43234
1756665786707952,25,44539
1756665786755148,24,47013
1756665786807277,23,51903
1756665786865863,22,58191
1756665786912239,21,46201
1756665786956988,20,44411
1756665786999282,19,42164
1756665787056625,18,57086
1756665787104386,17,47468
1756665787154130,16,49200
1756665787203474,15,49137
1756665787251500,14,47743
1756665787299965,13,48103
1756665787343433,12,43359
1756665787387203,11,43557
1756665787434110,10,46680
1756665787483176,9,48822
1756665787528214,8,44796
1756665787581656,7,53199
1756665787629204,6,46352
1756665787690478,5,61019
1756665787734333,4,43743
1756665787779265,3,44662
1756665787825130,2,45554
1756665787870084,1,44716
